Frame Rate:,30.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,0.05873164424189815,0.09880235460069445,0.020053439670138888,0.05733913845486111
2,00:00:00.067,0.003406665943287037,0.007961697048611112,0.00054931640625,0.001708984375
3,00:00:00.100,0.004177517361111111,0.010776095920138888,0.0005628797743055555,0.001193576388888889
4,00:00:00.133,0.01937527126736111,0.024678548177083332,0.005479600694444444,0.027967664930555556
5,00:00:00.167,0.005680790653935185,0.009969075520833334,0.0035603841145833335,0.003512912326388889
6,00:00:00.200,0.0012026186342592594,0.0030110677083333335,0.00020345052083333334,0.0003933376736111111
7,00:00:00.233,0.00036168981481481485,0.00037299262152777775,0.0002780490451388889,0.00043402777777777775
8,00:00:00.267,0.005884241174768518,0.008646647135416666,0.00390625,0.005099826388888889
9,00:00:00.300,0.001286259403935185,0.0006646050347222222,0.002678765190972222,0.0005154079861111111
10,00:00:00.333,0.00023509837962962967,0.00037977430555555556,0.00011528862847222222,0.00021023220486111112
11,00:00:00.367,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
12,00:00:00.400,0.001048900462962963,0.00031873914930555556,0.002617730034722222,0.00021023220486111112
13,00:00:00.433,0.001437717013888889,0.0011054144965277778,0.0026109483506944445,0.0005967881944444445
14,00:00:00.467,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
15,00:00:00.500,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
16,00:00:00.533,0.0008635344328703703,0.0,0.002590603298611111,0.0
17,00:00:00.567,0.0008499710648148148,0.0,0.0025499131944444445,0.0
18,00:00:00.600,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
19,00:00:00.633,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
20,00:00:00.667,0.0008499710648148148,0.0,0.0025499131944444445,0.0
21,00:00:00.700,0.0008499710648148148,0.0,0.0025499131944444445,0.0
22,00:00:00.733,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
23,00:00:00.767,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
24,00:00:00.800,0.0008499710648148148,0.0,0.0025499131944444445,0.0
25,00:00:00.833,0.0008499710648148148,0.0,0.0025499131944444445,0.0
26,00:00:00.867,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
27,00:00:00.900,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
28,00:00:00.933,0.0008499710648148148,0.0,0.0025499131944444445,0.0
29,00:00:00.967,0.0008499710648148148,0.0,0.0025499131944444445,0.0
30,00:00:01.000,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
31,00:00:01.033,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
32,00:00:01.067,0.0008499710648148148,0.0,0.0025499131944444445,0.0
33,00:00:01.100,0.0008499710648148148,0.0,0.0025499131944444445,0.0
34,00:00:01.133,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
35,00:00:01.167,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
36,00:00:01.200,0.0008499710648148148,0.0,0.0025499131944444445,0.0
37,00:00:01.233,0.0008499710648148148,0.0,0.0025499131944444445,0.0
38,00:00:01.267,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
39,00:00:01.300,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
40,00:00:01.333,0.0008499710648148148,0.0,0.0025499131944444445,0.0
41,00:00:01.367,0.0008544921875,0.0,0.0025634765625,0.0
42,00:00:01.400,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
43,00:00:01.433,0.00018310546875,0.0002712673611111111,0.00010850694444444444,0.00016954210069444444
44,00:00:01.467,0.0008499710648148148,0.0,0.0025499131944444445,0.0
45,00:00:01.500,0.0008499710648148148,0.0,0.0025499131944444445,0.0
46,00:00:01.533,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
47,00:00:01.567,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
48,00:00:01.600,0.0008590133101851852,0.0,0.0025770399305555555,0.0
49,00:00:01.633,0.0008522316261574073,0.0,0.002556694878472222,0.0
50,00:00:01.667,0.00018310546875,0.0002712673611111111,0.00010850694444444444,0.00016954210069444444
51,00:00:01.700,0.00018310546875,0.0002712673611111111,0.00010850694444444444,0.00016954210069444444
52,00:00:01.733,0.0019056532118055553,0.0022786458333333335,0.0027872721354166665,0.0006510416666666666
53,00:00:01.767,0.003490306712962963,0.005744086371527778,0.002902560763888889,0.0018242730034722222
54,00:00:01.800,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
55,00:00:01.833,0.0002486617476851852,0.00031873914930555556,0.00020345052083333334,0.00022379557291666666
56,00:00:01.867,0.002778229890046296,0.0003662109375,0.0026380750868055555,0.005330403645833333
57,00:00:01.900,0.002007378472222222,0.0,0.0025634765625,0.0034586588541666665
58,00:00:01.933,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
59,00:00:01.967,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
60,00:00:02.000,0.008732548466435184,0.014533148871527778,0.003058539496527778,0.00860595703125
61,00:00:02.033,0.002983940972222222,0.003167046440972222,0.0028483072916666665,0.002936469184027778
62,00:00:02.067,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
63,00:00:02.100,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
64,00:00:02.133,0.002952293113425926,0.002081976996527778,0.0027330186631944445,0.004041883680555556
65,00:00:02.167,0.0027669270833333335,0.0004069010416666667,0.002570258246527778,0.005323621961805556
66,00:00:02.200,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
67,00:00:02.233,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
68,00:00:02.267,0.001225224247685185,0.0007866753472222222,0.0025499131944444445,0.0003390842013888889
69,00:00:02.300,0.001225224247685185,0.0007866753472222222,0.0025499131944444445,0.0003390842013888889
70,00:00:02.333,0.00018084490740740742,0.0002712673611111111,0.00010172526041666667,0.00016954210069444444
